observation_id,review_status,inn,smiles,column_chemistry,column_length_mm,column_id_mm,particle_um,modifier,organic_percent,pH,buffer,flow_ml_min,temperature_c,t0_min,t0_source,t0_porosity_assumption,retention_time_min,retention_time_low_min,retention_time_high_min,log_k,source_file,source_page,source_chunk_id,condition_page_distance,extraction_method,extraction_confidence,validation_status,validation_issues,evidence
auto-00047,needs_review,moxonidine,COc1nc(C)c(NC2=NCCN2)nc1Cl,C8,125.0,3.0,3.0,acetonitrile,,,False,,,,,,8.8,8.8,8.8,,физиотенз.pdf,3,8d274ccce4a51e88950c39a033914abbc4c41b03,7,regex_v1,high,incomplete,missing_organic_percent;missing_flow;missing_t0,"%). ww Испытание проводят визуально. ~ ПОДЛИННОСТЬ ВЭЖХ Норма: Время удерживания основного пика на хроматограмме испытуемого раствора должно с погрешностью | % соответствовать времени удерживания основного пика на хроматограмме стандартного раствора. Определение проводят одновременно с тестом «Количественное определение». Время удерживания моксонидина составляет около 8,8 мин. УФ-спектр © Норма: УФ-спектры испытуемого и стандартного растворов в области"
auto-00048,needs_review,moxonidine,COc1nc(C)c(NC2=NCCN2)nc1Cl,C8,125.0,3.0,3.0,acetonitrile,,,False,,,,,,8.8,8.8,8.8,,физиотенз.pdf,7,d9543454afc88e91c163e6dc581e1cae0d10e5d4,3,regex_v1,high,incomplete,missing_organic_percent;missing_flow;missing_t0,"Определение проводят одновременно с тестом «Количественное определение». Время удерживания моксонидина составляет около 8,8 мин. УФ-спектр © Норма: УФ-спектры испытуемого и стандартного растворов в области"
auto-00049,needs_review,moxonidine,COc1nc(C)c(NC2=NCCN2)nc1Cl,C8,125.0,3.0,3.0,acetonitrile,,,False,,,,,,,1.1,1.8,,физиотенз.pdf,11,0c05ba15576cd4e6953f8e585123503d12a0fc28,0,regex_v1,high,incomplete,missing_organic_percent;missing_flow;missing_exact_tR;missing_t0,"таблеток с дозировкой 0,2 mr - 25 мкл Для таблеток с дозировкой 0,4 мг - 15 мкл Время Не менее 2 мин хроматографирования Проверка пригодности хроматографической системы - среднее время удерживания моксонидина (на 3 хроматограммах рабочих © стандартных растворов) должно быть в пределах 1,1 - 1,8 мин. - На хроматограмме растворителя должны отсутствовать пики со временем удержива"
auto-00050,needs_review,moxonidine,COc1nc(C)c(NC2=NCCN2)nc1Cl,C8,125.0,3.0,3.0,acetonitrile,,,False,,,,,,,1.8,2.8,,физиотенз.pdf,16,f0ef1ee68caf5bd54868786f395c954ff216b798,5,regex_v1,low,incomplete,missing_organic_percent;missing_flow;missing_exact_tR;missing_t0,"раствор. Если время удерживания моксонидина выходит за пределы требуемого интервала, прибавляют к подвижной фазе воду очищенную (время удерживания увеличивается) или ацетонитрил (время удерживания уменьшается), ждут, пока система достигнет равновесия, и повторяют тест. & - среднее значение времени удерживания моксонидина, рассчитанное по 6 хроматограммам стандартного раствора, должно находиться в интервале 1,8 — 2,8 мин. - коэффициент вариации для площадей пиков моксонидина для 6 хроматограмм стан"
auto-00051,needs_review,moxonidine,COc1nc(C)c(NC2=NCCN2)nc1Cl,C8,125.0,3.0,3.0,acetonitrile,,3.5,False,,,,,,,1.1,1.8,,физиотенз.pdf,24,53305dfaf298ca8bc4586cd31ca65a23439caf81,0,regex_v1,high,incomplete,missing_organic_percent;missing_flow;missing_exact_tR;missing_t0,"нм, ширина полосы 8 нм, опорная длина волны: 400 нм, ширина полосы — 40 нм. . Время Не менее 5 мин ~ хроматографирования Проверка пригодности хроматографической системы - Среднее время удерживания моксонидина должно быть в пределах 1,1 — 1,8 МИН. - На хроматограмме растворителя должны отсутствовать пики со временем удержива"
auto-00052,needs_review,moxonidine,COc1nc(C)c(NC2=NCCN2)nc1Cl,C8,125.0,3.0,3.0,acetonitrile,,3.5,False,,,,,,,1.1,1.8,,физиотенз.pdf,25,f49535bddf47a4854c6792eb88a0d10c5a959d9a,1,regex_v1,high,incomplete,missing_organic_percent;missing_flow;missing_exact_tR;missing_t0,"нм, ширина полосы 8 нм, опорная длина волны: 400 нм, ширина полосы — 40 нм. . Время Не менее 5 мин ~ хроматографирования Проверка пригодности хроматографической системы - Среднее время удерживания моксонидина должно быть в пределах 1,1 — 1,8 МИН. - На хроматограмме растворителя должны отсутствовать пики со временем удержива"
auto-00053,needs_review,moxonidine,COc1nc(C)c(NC2=NCCN2)nc1Cl,,250.0,4.0,5.0,acetonitrile,,,False,,,,,,15.0,15.0,15.0,,физиотенз.pdf,32,5f66c419e65f3772b7e94c11d33960f421452110,2,regex_v1,medium,incomplete,missing_column;missing_organic_percent;missing_flow;missing_t0,"й раствор (для количественного определения) для дозировки 0,2 мг или 0,4 мг- 2 раза. ® Растворитель (контрольный опыт): оценивают степень загрязнения. Высота сигналов в интервале времен удерживания от 3 до 15 мин должна быть < 150 цАЦП. ® Раствор для определения пригодности хроматографическо"
auto-00054,needs_review,escitalopram,CN(C)CCCC1(c2ccc(C#N)cc2)OCc2cc(F)ccc21,C18,,,5.0,methanol,7.0,,True,1.0,,,,,0.2,0.2,0.2,,ципралекс.pdf,2,3964aa0ad005ec4908f7ac7ce6f7f1b0c5e27734,13,regex_v1,high,incomplete,missing_t0;missing_buffer_pH,"через 30 мин Евр. Фарм. (2.9.3.) и Фарм. Метод: визуальный ИДЕНТИФИКАЦИЯ Норма: Время удерживания основного пика на хроматограмме испытуемого раствора должно соответствовать времени удерживания основного пика на хроматограмме стандартного раствора эсциталопрама (стандартного раствора А). Допустимое отклонение ΔRT составляет не более 0,2 мин. Метод: ВЭЖХ Определение проводят методом ВЭЖХ одновременно с метод икой «Ко-"
auto-00055,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,,acetonitrile,23.0,,False,,,,,,15.0,15.0,15.0,,ЛП-№(000493)-(РГ-RU)-100122.pdf,2,9e3970beb3533dd219c67686ccde2061ee18c87d,7,regex_v1,low,incomplete,missing_column;missing_flow;missing_t0,"е: от белого до бледно-желтого или от белого до кремового цвета. Подлинность? Время удерживания основного пика на | ВЭЖХ хроматограмме испытуемого раствора должно соответствовать времени удерживания пика эторикоксиба на хроматограмме стандартного раствора (в пределах = 2,5 %). . Вода*5 Не более 3,0 %. ГФ РФ, метод К. оО Растворение Стадия I - не менее 85 % от заявленного | ВЭЖХ содержания через 15 мин (для 6 таблеток); Стадия П - не менее 80 % от заявленного содержания через 15"
auto-00056,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,5.0,acetonitrile,23.0,,False,0.6,40,,,,2.5,2.5,2.5,,ЛП-№(000493)-(РГ-RU)-100122.pdf,11,786b1f7b2c16df7d6d571862d52d4dfd1d840fb9,2,regex_v1,high,incomplete,missing_column;missing_t0,"роматограмме растворителя не должно присутствовать пиков, перекрывающих основные Пики. 2) Вводят рабочий стандартный раствор и оценивают пригодность хроматографической системы. e Время удерживания для пика эторикоксиба составляет около 2,5 мин; » Фактор асимметрии (Т) для пика эторикоксиба должен быть не более 1,5; © e От"
auto-00057,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,5.0,acetonitrile,23.0,,False,0.6,40,,,,2.5,2.5,2.5,,ЛП-№(000493)-(РГ-RU)-100122.pdf,12,10646807085a6d887f9d5714f0992a22998b9532,3,regex_v1,high,incomplete,missing_column;missing_t0,"2) Вводят рабочий стандартный раствор и оценивают пригодность хроматографической системы. e Время удерживания для пика эторикоксиба составляет около 2,5 мин; » Фактор асимметрии (Т) для пика эторикоксиба должен быть не более 1,5; © e От"
auto-00058,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,,,,5.0,acetonitrile,27.0,2.95,True,0.6,40,,,,2.5,2.5,2.5,,ЛП-№(000493)-(РГ-RU)-100122.pdf,18,0ea6957810761c5032f171f65a803bbce0b574a9,3,regex_v1,high,incomplete,missing_column;missing_t0,"ль. На хроматограмме растворителя не должно присутствовать пиков, перекрывающих основные пики. 2) Вводят стандартный раствор и оценивают пригодность хроматографической системы. » Время удерживания пика эторикоксиба составляет около 2,5 мин; » Фактор асимметрии пика эторикоксиба должен быть не более 1,5; e Относительно"
auto-00059,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,C18,150.0,4.6,3.5,acetonitrile,27.0,2.95,True,1.2,40,1.4126,estimated_column_geometry,0.68,7.0,7.0,7.0,0.5971839610252597,ЛП-№(000493)-(РГ-RU)-100122.pdf,23,0c4f29a91fca47b5d3a77110b628721ee8639fdb,2,regex_v1,high,incomplete,estimated_t0_not_measured,> 3 с относительным стандартным отклонением (RSD) < 25%. 3) Вводят раствор для проверки пригодности хроматографической системы и оценивают пригодность хроматографической системы. Время удерживания для пика эторикоксиба составляет около 7 мин. Относительные времена удерживания пиков примесей приведены в таблице:
auto-00060,needs_review,etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,C18,150.0,4.6,3.5,acetonitrile,27.0,2.95,True,1.2,40,1.13,measured_document,,7.0,7.0,7.0,0.7155596577641948,ЛП-№(000493)-(РГ-RU)-100122.pdf,24,f9f8935a6b57225a1668d14eb0783c37b49a8e1e,3,regex_v1,high,ready,,3) Вводят раствор для проверки пригодности хроматографической системы и оценивают пригодность хроматографической системы. Время удерживания для пика эторикоксиба составляет около 7 мин. Относительные времена удерживания пиков примесей приведены в таблице: держив
